Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
Alchemy - Series B,Series B,2021-04-28T00:00:00.000Z,"K5 Global/Pantera Capital/Coinbase Ventures/Reid Hoffman/DFJ/Coatue
  Management/Addition",80000000,505000000,Blockchain developer platform - Blockchain AWS,Nikil Viswanathan,https://www.alchemy.com/,Alchemy,Infrastructure,Tooling,https://techcrunch.com/2021/04/28/alchemy-raises-80m-at-a-505m-valuation-to-be-the-aws-for-blockchain/,none
Nftfy - Strategic,Strategic,2021-04-28T00:00:00.000Z,"Moonwhale
  Ventures/GD10
  Ventures/Magnus Capital/Three M Capital/AU21 Capital/Poolz Ventures/Lotus Capital/Petrock Capital/Part One Capital/Follow[the]Seed/CryptoDormFund/Chain Ridge Capital/Nodeseeds/TAG Ventures/Chainstride Capital/CSP DAO/BlackDragon Capital/Altvest Capital Partners",none,none,Trustless way of sharing ownership of NFTs,Leonardo Carvalho,https://nftfy.org/,Nftfy,NFTs,Fractionalization,https://medium.com/nftfy/nftfy-announces-partner-onboarding-94ab00b5f14d,none
Jur - Strategic,Strategic,2021-04-27T00:00:00.000Z,"Tim
  Draper",1000000,none,Open justice platform resolving disputes online and save 80% of the time and 20% of the costs of the conventional dispute resolution,Alessandro Palombo,https://jur.io/,Jur,Web3,Justice,https://jur.io/blog/news/breaking-from-business-insider-vc-tim-draper-invests-1m-in-jur-on-the-token-of-decentralised-justice/,none
Moralis - Strategic,Strategic,2021-04-28T00:00:00.000Z,Morningstar Ventures,none,none,"Scalable, fast and robust web3 infrastructure ",Ivan on Tech,https://moralis.io/,Moralis,Infrastructure,Tooling,https://moralis.io/investment-announcement-morningstar-ventures/,none
Pinknode - Strategic,Strategic,2021-05-01T00:00:00.000Z,"Astronaut Capital/Moonrock Capital/Petrock Capital/Momentum
  6/X21 Digital/Signum Capital/Faculty
  Capital/Digital Strategies/AU21 Capital/White Palm Ventures/Das Kapital/Eric Wang",700000,none,The first Polkadot-based Infrastructure-as-a-Service project with the goal of accelerating adoption and empowering innovators to create the most promising Web 3.0 meta protocol,Eric Poh,https://pinknode.io/,Pinknode,Infrastructure,Data,https://medium.com/pinknode/private-round-closed-44x-oversubscribed-e283ea1f3454,none
Globe - Unknown,Unknown,2021-04-25T00:00:00.000Z,Krypital Group,none,none,Globe is a crypto derivatives exchange where institutions and consumers transact digital currencies like bitcoin via perpetual futures contracts,James West/Shaun Ng,https://globedx.com/en/,Globe,DeFi,Derivatives/Exchange,none,none
Fantom Foundation - Unknown,Unknown,2021-04-28T00:00:00.000Z,HyperChain Capital,15000000,none,"Fantom is a fast, high-throughput open-source smart contract platform for digital assets and dApps",Michael Kong,https://fantom.foundation/,Fantom Foundation,Infrastructure,Smart contracts,none,none
PERI Finance - Strategic,Strategic,2021-04-30T00:00:00.000Z,"Ramprate/CoinUnited Capital/CryptoRevolution/QuiverX Capital/CSP DAO/Moonwhale
  Ventures/DuckDAO/Gate.io/BlackDragon Capital/Blocksync
  Ventures/HOT Labs/HIM Capital/Fermion Capital",4700000,none,A decentralized cross-chain synthetic issuance and derivative exchange protocol that provides unlimited liquidity,Gareth David Bowles,https://www.pynths.com/,PERI Finance,DeFi,Synthetics,https://medium.com/perifinance/peri-finance-has-closed-its-successful-2nd-round-of-fund-raising-3d966c597f81,none
SingularityDAO - Strategic,Strategic,2021-04-25T00:00:00.000Z,none,2700000,none,"A unique Layer-2, non-custodial solution aimed at revolutionizing the altcoin markets. Leveraging DeFi and decentralized AI, SingularityDAO increases the liquidity available to crypto assets of all types and sizes",Marcello Mari,https://www.singularitydao.ai/,SingularityDAO,Infrastructure,Layer 2/AI,none,none
SakePerp - Strategic,Strategic,2021-04-27T00:00:00.000Z,"GBV
  Capital/CMS Holdings/Longling Capital/Mgnr/Digital
  Renaissance",3000000,none,The first perpetual contract protocol built on the Binance Smart Chain (BSC) with an automated market-making (AMM) model,none,http://sakeperp.fi,SakePerp,DeFi,AMM,https://sakeswap.medium.com/sakeperp-fi-raises-3mm-strategic-funding-round-led-by-gbv-cms-future-fund-longling-and-mgnr-ebe20740adcc,none
PERI Finance - Seed,Seed,2021-03-19T00:00:00.000Z,LD Capital,none,none,A decentralized cross-chain synthetic issuance and derivative exchange protocol that provides unlimited liquidity,Gareth David Bowles,https://www.pynths.com/,PERI Finance,DeFi,Liquidity/Interoperability/Synthetics,none,none
Lever.Network - Seed,Seed,2021-04-20T00:00:00.000Z,"NGC Ventures/LD Capital/DFG (Dynamic Fintech Group)/AU21 Capital/TheDaoMaker/YBB
  Foundation",600000,none,First AMM-based decentralized margin trading platform,none,https://lever.network/,Lever.Network,DeFi,AMM/Trading,none,none
GENIES - Series B,Series B,2021-05-03T00:00:00.000Z,Bond Capital/Dapper Labs/Polychain Capital/Coinbase Ventures/Hashkey Capital,65000000,none,An avatar technology company that builds avatars for people and communities,Akash Nigam,https://genies.com/,GENIES,NFTs,Avatar,https://www.coindesk.com/dapper-labs-coinbase-ventures-join-65m-investment-in-avatar-startup-genies,none
Nayms - Seed,Seed,2021-01-25T00:00:00.000Z,XBTO Ventures/Maven 11  Capital/G1 Ventures/Coinbase Ventures/Cypher Capital LLC,2000000,none,"A smart contract platform for the placement, trade, reporting and settlement of insurance risk",Dan Roberts,https://nayms.io/,Nayms,Infrastructure,Smart contracts,none,none
Unocoin - Series A,Series A,2020-10-08T00:00:00.000Z,XBTO Ventures/Draper Associates,5000000,20000000,"An Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins",Sathvik Vishwanath,https://www.unocoin.com/,Unocoin,DeFi,Custody,none,none
Secret Network - Unknown,Unknown,2021-05-03T00:00:00.000Z,Arrington XRP Capital/Blocktower Capital/Spartan Group/Skynet Trading,11500000,none,The first privacy-first smart contract platform,Tor Bair,https://scrt.network/,Secret Network,Infrastructure,Privacy/Smart contracts,https://techcrunch.com/2021/05/03/in-the-race-towards-web-3-financial-privacy-secret-network-attracts-backing-from-key-players/,none
X World Games - Strategic,Strategic,2021-04-26T00:00:00.000Z,"NGC Ventures/PreAngel Fund/FBG Capital/Longling Capital/SNZ Holding/Chain Capital/Moonwhale
  Ventures/BTX Capital/CryptoDiffer/Lanlaxy Group/Kyros
  Ventures",1200000,none,"A unique blockchain-based game ecosystem, aims to make blockchain features simple and fun for non-crypto players to own their NFTs",none,https://xwg.games/,X World Games,NFTs,Gaming,none,none
Phantom - Seed,Seed,2021-04-27T00:00:00.000Z,"LD Capital/NGC Ventures/Gate.io/Kyros
  Ventures",none,none,A  new cross-chain synthetic asset generation and issuance protocol,none,https://phm.finance/,Phantom,DeFi,Synthetics,none,none
MyDeFiPet - Unknown,Unknown,2021-04-21T00:00:00.000Z,"Animoca Brands/Spark
  Digital Capital/Axia8
  Ventures/Bixin Ventures/DFG (Dynamic Fintech Group)/Momentum
  6/Kardia Ventures/Clovers Ventures/Megala
  Ventures",none,none," A virtual pet game that combines DeFi, collectibles and your own personality",Liem Thai,https://mydefipet.com/,MyDeFiPet,Web3,Gaming,none,none
NFT Alley - Strategic,Strategic,2021-04-21T00:00:00.000Z,"AU21 Capital/X21 Digital/Moonwhale
  Ventures",1000000,none,Empowering multi-chain NFT marketplaces to make crypto-collectibles accessible,none,https://nftalley.io/,NFT Alley,NFTs,Marketplace,https://nftalley.medium.com/nft-alley-raises-1m-in-funding-rounds-to-build-indias-first-multi-chain-nft-marketplace-481cc21a8039,none
Drops - Seed,Seed,2021-05-04T00:00:00.000Z,"Andrey Balyasnikov/Richard Ma/Michael Gu/Marc Weinstein/Joseph Delong/Ben Lakoff/Nick Sawinyh/Hartej Sawney/Cooper
  Turley /Sergei Chan/Regan Bozman/Axia8
  Ventures/Bitscale Capital/Blocksync
  Ventures/AU21 Capital/X21 Digital/D64 Ventures/Genblock Capital/Drops Ventures",1000000,none,An NFT project focused on bringing scalability and utility to NFT assets,Darius Kozlovskis,https://www.drops.co/,Drops,NFTs,Scalability,https://cointelegraph.com/press-releases/drops-closes-1m-private-funding-round-to-create-new-value-for-nfts,none
Skale Network - Series A,Series A,2019-10-01T00:00:00.000Z,Arrington XRP Capital/Hashed/Hashkey Capital/Multicoin Capital/Recruit Holdings/Winklevoss Capital,17100000,none,Decentralized Systems need greater throughput and lower transaction fees in order to meet the requirements of Decentralized Applications (dApps),Jack O'Holleran,https://skale.network/,Skale Network,Web3,DApp,none,none
Switcheo - Unknown,Unknown,2020-01-14T00:00:00.000Z,"NEO
  EcoFund",none,none,"Building decentralized platforms that break new ground, bringing you finance without limits",Ivan Poon,https://www.switcheo.com/index.html,Switcheo,Infrastructure,Interoperability/Tooling,none,none
NuCypher - Unknown,Unknown,2019-10-07T00:00:00.000Z,Polychain Capital/Bitmain,10700000,none,"Giving developers a way to store, share, and manage private data on public blockchains.",MacLane Wilkison,https://www.nucypher.com/,NuCypher,Web3,Data,none,none
BetProtocol - Pre-Seed,Pre-Seed,2019-11-20T00:00:00.000Z,NGC Ventures/CMS Holdings/BlockGround Capital/Shilling Capital Partners/Bynd Venture Capital/Utrust Ventures,3000000,none,We are a Code-as-a-Service protocol providing technology and support for blockchain-based applications,Justin Wu,https://www.bepro.network/,BetProtocol,Infrastructure,Tooling,none,none
AVA Labs - ,none,2020-06-25T00:00:00.000Z,"Initialized
  Capital/Galaxy Digital/Bitmain/NGC Ventures/Dragonfly Capital/IOSG Ventures",12000000,none,Making it simple to launch finance applications using blockchain technology,Emin Gun Sirer,https://www.avalabs.org/,AVA Labs,Infrastructure,Layer 1,none,none
Authereum - Seed,Seed,2020-02-12T00:00:00.000Z,"Republic
  Labs/Infinite Capital/Marc Weinstein/Coinbase Ventures/1confirmation",1100000,none,"Top decentralized projects trust Authereum, a Web3 wallet",Christopher Whinfrey/Miguel Mota,https://authereum.com/welcome/,Authereum,DeFi,Wallet,none,none
Clear Blockchain Technologies - Series A,Series A,2020-02-05T00:00:00.000Z,HongKong Telecom/Eight Roads Ventures/Telefonica Innovation Ventures/Singtel Innov8/DTCP/Fidelity International Strategic Ventures,13000000,none,This recognition stems from our constant aspiration to lead our ecosystem with the most advanced and innovative use of distributed ledger technology in enterprise commerce and contract management, Eran Haggiag/ Gal Hochberg,https://www.clearx.io/,Clear Blockchain Technologies,Web3,Data,none,none
OpenSea - Seed,Seed,2019-11-19T00:00:00.000Z,gumi Cryptos/Dylan Field/Blockchain Capital/Animoca Brands/1confirmation,2100000,none,Largest NFTs marketplace,Devin Finzer/Alex Atallah,https://opensea.io/,OpenSea,NFTs,Marketplace,none,none
Phemex - Seed,Seed,2020-03-11T00:00:00.000Z,NGC Ventures,3500000,none,"Led by over 8 former Morgan Stanley Executives, Phemex is building the world’s most trustworthy cryptocurrency derivatives trading platform",Jack Tao,https://phemex.com/,Phemex,CeFi,Exchange/Trading,none,none
Eventus Systems - Series A,Series A,2020-02-19T00:00:00.000Z,Chimera Securities/LiveOak Venture Partners/Coinbase Ventures/Kumar Dandapani/Jump Capital,10500000,none,"Our powerful, award-winning Validus platform is easy to deploy, customize and operate and is proven in the most complex, high-volume and real-time environments",Travis Schwab,https://www.eventussystems.com/,Eventus Systems,CeFi,Trading,none,none
Amber Group - Series A,Series A,2020-02-14T00:00:00.000Z,Ronald Arculli/Polychain Capital/Plum Ventures/Paradigm/Pantera Capital/Jieshi Investment/Jianwei Li/Genesis Financial/Dragonfly Capital/Coinbase Ventures/Candy Capital/Blockchain.com/Ben Falloon,28000000,none,"Optimizing investment flexibility, maximize investment returns and deliver long-lasting value for our clients",Luke Li/Michael Wu/Thomas Zhu/Tiantian Kullander/Tony He/Wayne Huo,https://www.ambergroup.io/,Amber Group,CeFi,Yield,none,none
Bitski - Seed,Seed,2019-11-13T00:00:00.000Z,"Winklevoss Capital/Coinbase Ventures/Galaxy
  Interactive",1800000,none,"Connecting communities, creators and brands through unique, ownable digital content. This is how the metaverse begins.",Donnie Dinch/Julian Tescher/Steve Jang,https://www.bitski.com/,Bitski,NFTs,Collectibles,none,none
Banxa - Series A,Series A,2020-01-15T00:00:00.000Z,Thorney Investment/NGC Ventures,2000000,none,"We’re a global team of legal, tech and crypto experts who create global fiat on- and off- ramp solutions.",Holger,https://banxa.com/,Banxa,CeFi,Payment,none,none
Eco - Seed,Seed,2020-01-01T00:00:00.000Z,Pantera Capital/Expa,8500000,none,"Simple balancer that lets users spend, send, save and make money at the same time",Joey Krug,https://www.eco.com/,Eco,CeFi,Banking,none,none
Transparent Financial Systems - Series A,Series A,2020-02-05T00:00:00.000Z,Vulcan Capital/Square/Pantera Capital/Future Perfect Ventures/Digital Currency Group/CMT Digital/Biz Stone,14000000,none,"A vision of more efficient, transparent, and accurate payments for all is shared by many. However, it’s our approach that sets us apart.",Jeff Kramer,https://www.transparent.us/,Transparent Financial Systems,CeFi,Payment/Enterprise,none,none
Bakkt - Series B,Series B,2020-03-16T00:00:00.000Z,The Boston Consulting Group/SGH Capital/PayU/Pantera Capital/M12/Intercontinental Exchange/Goldfinch Partners/CMT Digital/CityBlock Capital,300000000,none,"Discover money you never knew you had by using Bakkt to track, spend, and send your digital assets.",Adam White,https://www.bakkt.com/,Bakkt,CeFi,Payment,none,none
NEAR Protocol - Unknown,Unknown,2020-05-04T00:00:00.000Z,ZBS Capital/Pantera Capital/Libertus Capital/Blockchange Ventures/Andreessen Horowitz,21600000,none,A blockchain designed to provide the performance and UX to get to mainstream adoption of decentralized applications,Illia Polosukhin/Alexander Skidanov,https://near.org/,NEAR Protocol,Infrastructure,Layer 1,none,none
StakerDAO - Series A,Series A,2020-02-28T00:00:00.000Z,Zenith Ventures/Polychain Capital/Lemniscap,none,none,"Run by a community of blockchain and finance enthusiasts who govern decisions for building cross-chain, decentralized financial assets in a compliant manner",Jonas Lamis,https://www.stakerdao.com/,StakerDAO,DeFi,Funding,none,none
Futureswap - Seed,Seed,2020-03-11T00:00:00.000Z,"Lemniscap/Infinite Capital/Framework
  Ventures",1000000,none,Ethereum which runs our smart contracts and node network,Derek Alia,https://www.futureswap.com/,Futureswap,DeFi,Perpetual,none,none
Avanti Financial Group - Seed,Seed,2020-06-03T00:00:00.000Z,"University of Wyoming Foundation/Susan B. Anthony/Morgan
  Creek Digital/Malex Enterprises/Madison Paige Capital/Lemniscap/Gary Gigot/Digital Currency Group/Blockchain Capital",none,none,We see a future where all banks support digital assets and offer meaningful API capabilities to tech-savvy customers.,Caitlin Long,https://avantibank.com/,Avanti Financial Group,Web3,Enterprise,none,none
Skew - Series A,Series A,2020-04-29T00:00:00.000Z,Seedcamp/Octopus Ventures/Firstminute Capital/Digital Currency Group,5000000,none,Stay ahead of the market using skew.'s leading data analytics and trade execution platform for institutional investors.,Emmanuel Goh,https://skew.com/,Skew,Web3,Analytics/Data,none,none
Zabo - Seed,Seed,2020-03-05T00:00:00.000Z,Service Provider Capital/Moonshots Capital/Digital Currency Group/CoinShares/Castle Island Ventures/Capital Factory/Blockchange Ventures,2500000,none,Everything you need to build amazing experiences with cryptocurrency,Christopher Brown,https://zabo.com/,Zabo,Web3,APIs,https://www.coindesk.com/moonshots-capital-dcg-tezos-back-2-5m-fundraise-for-crypto-software-provider,none
CoinMetrics - Series A,Series A,2020-03-26T00:00:00.000Z,Raptor Group/Highland Capital Partners/Fidelity/Dragonfly Capital/Digital Currency Group/Communitas Asset Management/Collaborative Fund/Coinbase Ventures/Castle Island Ventures/Avon  Ventures,6000000,none,Making the world’s crypto data transparent and accessible,Brian Cole,https://coinmetrics.io/,CoinMetrics,Web3,Data/Analytics,none,none
Reserve - Unknown,Unknown,2020-01-01T00:00:00.000Z,Digital Currency Group,none,none,Designed to reduce risk through diversification and decentralized governance,Nevin Freeman,https://reserve.org/,Reserve,CeFi,Stablecoins,none,none
Decentraland - Unknown,Unknown,2020-01-01T00:00:00.000Z,Digital Currency Group,none,none,"Create, explore and trade in the first-ever virtual world owned by its users.",Thor Alexander,https://decentraland.org/,Decentraland,Web3,Gaming/Metaverse,none,none
Bloq - Unknown,Unknown,2020-01-01T00:00:00.000Z,Digital Currency Group,none,none,Managed infrastructure for building on blockchain networks,Matthew Roszak,https://www.bloq.com/,Bloq,Infrastructure,Enterprise,none,none
PROPS - Unknown,Unknown,2020-04-30T00:00:00.000Z,Union Square Ventures/SPiCE Venture Capital/Lvna Capital/GSR/Dating Group/CoinFund/Borderless Capital,2000000,none,Open source infrastructure for a network of apps capable of transparently and fairly rewarding users with a shared token,Adi Sideman,https://www.propsproject.com/,PROPS,Web3,APIs,none,none
Numerai - Unknown,Unknown,2020-03-06T00:00:00.000Z,Union Square Ventures/Placeholder/Dragonfly Capital/CoinFund,3000000,none,A new kind of hedge fund built by a network of data scientists. Numerai manages an institutional grade long/short global equity strategy for the investors in our hedge fund,Richard Craib,https://numer.ai/,Numerai,Web3,Data,none,none
Showtime - Seed,Seed,2021-05-05T00:00:00.000Z,Paradigm/3LAU/Meltem Demirors,7600000,none,The NFT social network: discover & showcase cryptomedia,Alex Masmejean,https://tryshowtime.com/,Showtime,NFTs,Social network/Aggregator,https://www.coindesk.com/paradigm-3lau-back-7-6m-raise-for-nft-social-network-showtime,none
Bitso - Series C,Series C,2021-05-05T00:00:00.000Z,"Tiger Global Management/Coatue
  Management/Paradigm/Bond Capital/Valor
  Capital Group/Pantera Capital/QED Investors",250000000,none,A cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies,Daniel Vogel,http://bitso.com/,Bitso,CeFi,Exchange,https://techcrunch.com/2021/05/05/latam-crypto-exchange-bisto-raises-250m-from-tiger-coatue-at-a-2-2b-valuation/?tpcc=ECTW2020,none
Opyn - Seed,Seed,2020-06-22T00:00:00.000Z,Version One Ventures/Uncorrelated Ventures/Robert Leshner /Dylan Field/DTC Capital/Dragonfly Capital/CoinFund/Balaji Srinivasan/1kx,2200000,none,"The most powerful, capital efficient DeFi options protocol.",Zubin Singh Koticha,https://www.opyn.co/#/trade,Opyn,DeFi,Options,none,none
Folkvang - Seed,Seed,2020-03-03T00:00:00.000Z,"Alameda
  Research",none,none,We are a quantitative trading firm and liquidity provider active in all leading crypto markets. We trade all major coins on all major exchanges with a constant global presence.,Mike Van Rossum,https://folkvang.io/,Folkvang,CeFi,Trading,none,none
CoinMetrics - Unknown,Unknown,2021-05-05T00:00:00.000Z,Castle Island Ventures/Highland Capital Partners/Fidelity/Avon  Ventures/Acrew Capital/Morningside Venture Capital/BlockFi/Goldman Sachs,15000000,none,Making the world’s crypto data transparent and accessible,Brian Cole,https://coinmetrics.io/,CoinMetrics,Web3,Data,https://www.coindesk.com/coin-metrics-closes-15m-funding-round-led-by-goldman,none
Sifchain Finance - Seed,Seed,2020-08-15T00:00:00.000Z,"NGC Ventures/Kosmos Ventures/Kenetic/George Burke/Bitscale Capital/AU21 Capital/Alameda
  Research",3500000,none,The world’s first omni-chain decentralized exchange,Sneha Kataria,https://sifchain.finance/,Sifchain Finance,DeFi,Exchange,none,none
Merkle Data - Unknown,Unknown,2020-01-01T00:00:00.000Z,Digital Currency Group,none,none,"India’s leading digital ad technology, paid search and big data analytics firm, with proprietary algorithms, artificial intelligence, and automation at its backbone",Anubhav Sonthalia,https://www.merkleinc.com/,Merkle Data,Web3,Data,none,none
Lido - Treasury Diversification,Treasury Diversification,2021-05-05T00:00:00.000Z,"Paradigm/Coinbase Ventures/Three Arrows Capital/Jump
  Trading/Alameda
  Research/Digital Currency Group/iFinex/Dragonfly Capital/Delphi Digital/Robot Ventures/The LAO/0xMaki/Ameen Soleimani/Derek Hsue/Divergence Ventures/Elias Simos/Eric Wall/Fernando Martinelli/Ivan Golovko/Jinglan Wang/Larry Sukernik/Mariano Conti /Tim Beiko/Viktor Bunin/Zaki Manian",73000000,none,A liquid staking solution for Ethereum and Terra,Konstantin Lomashuk,https://lido.fi/,Lido,Infrastructure,Layer 1,https://www.theblockcrypto.com/linked/103874/eth2-staking-protocol-lido-raises-73-million-paradigm,none
Vega Protocol - Unknown,Unknown,2019-10-02T00:00:00.000Z,Pantera Capital/Hashed/KR1,5000000,none,"Decentralised infrastructure that allows anyone to create products and markets, be a market maker, or trade.",Ramsey Khoury/Barney Mannerings,https://vega.xyz/,Vega Protocol,Infrastructure,AMM,none,none
RTFKT Studios - Unknown,Unknown,2021-05-05T00:00:00.000Z,Galaxy Digital/Ledger Capital/Dapper Labs/Adrian Cheng/Shrug Capital/Mike Novogratz/Andreessen Horowitz/Roham Gharegozlou,8000000,none,Next Gen Sneakers and Collectibles for the metaverse,Benoit Pagotto,https://rtfkt.com/,RTFKT Studios,NFTs,Collectibles,https://rtfktstudios.medium.com/born-on-the-metaverse-e444e576226c,none
Akash Network - Unknown,Unknown,2020-03-30T00:00:00.000Z,Infinite Capital/George Burke,2000000,none,We're empowering the builders of the Internet with more freedom to develop products that improve human experience.,Greg Osuri,https://akash.network/,Akash Network,Web3,Cloud,none,none
Qredo - Seed,Seed,2021-05-03T00:00:00.000Z,gumi Cryptos/G1 Ventures/Spartan Group/Maven 11  Capital/Zhou Holdings/Wintermute/SVK Crypto/Kronos Research/Quantstamp/tokentus investment AG/Yellow/1kx/Kenetic,11000000,none,"Blockchain interoperability, lightning-fast settlement and secure decentralized custody",Anthony Foy,https://www.qredo.com/,Qredo,Infrastructure,Custody,none,none
Qredo - Pre-Seed,Pre-Seed,2020-06-06T00:00:00.000Z,tokentus investment AG/Maven 11  Capital/gumi Cryptos/G1 Ventures/Borderless Capital/Amnis Ventures,none,none,"Blockchain interoperability, lightning-fast settlement and secure decentralized custody",Anthony Foy,https://www.qredo.com/,Qredo,Infrastructure,Custody,none,none
Yieldly - Unknown,Unknown,2021-04-14T00:00:00.000Z,Borderless Capital/LongHash Ventures/CMS Holdings/Kosmos Ventures/LD Capital/Kernel Ventures/IBMR.io,1400000,20000000,"No-loss prize games, cross-chain swapping, and multi-asset staking, on Algorand",none,https://yieldly.finance/,Yieldly,DeFi,Multi-products,https://www.techinasia.com/decentralized-finance-firm-yieldly-banks-14m-longhashbacked,none
Revolut - Series D,Series D,2020-02-17T00:00:00.000Z,TCV/DST Global/Ribbit Capital/Lakestar/GP Bullhound/London Impact Ventures/Bond Capital/Mary Meeker,500000000,none,"Exchange money with no hidden fees. Buy crypto, gold and manage your money with spending analytics. Join over 15 million Revolut customers.",Nik Storonsky,https://www.revolut.com/,Revolut,CeFi,Banking/Wallet,none,none
Digital Asset - Series C,Series C,2019-12-11T00:00:00.000Z,Goldman Sachs,35000000,none,"Digital Asset is building the platform, developer tools and leveraging the best modern infrastructure providers to change how businesses interact.",Yuval Rooz,https://www.digitalasset.com/,Digital Asset,Web3,Tooling/APIs,none,none
Marathon Patent Group - Unknown,Unknown,2021-01-04T00:00:00.000Z,Fortress Investment Group,200000000,none,Helping you gain exposure to Bitcoin in your portfolio without having to deal with the complications of holding the asset directly.,Merrick Okamoto,http://marathonpg.com/,Marathon Patent Group,Infrastructure,Mining,none,none
Bison Trails - Series A,Series A,2019-11-19T00:00:00.000Z,"Kleiner Perkins/Initialized
  Capital/Accomplice/Collaborative Fund/Sound Ventures/Blockchain Capital/Notation Capital/Coinbase Ventures",25500000,none,"The company's technology platform provides enterprise-grade security, multi-cloud and multi-region distribution, and a 99.99% uptime guarantee for node operators",Aaron Henshaw/ Joe Lallouz,https://bisontrails.co/,Bison Trails,Infrastructure,Audit,none,none
Optimism - Seed,Seed,2020-01-15T00:00:00.000Z,Paradigm/IDEO Colab Ventures,3500000,none,Scalability stack for instant transactions and scalable smart contracts,https://optimism.io/,https://optimism.io/,Optimism,Infrastructure,Layer 2/Scalability,none,none
Matrixport - Unknown,Unknown,2019-12-01T00:00:00.000Z,"Polychain Capital/Paradigm/Lightspeed
  Venture Partners/IDG Capital/Dragonfly Capital",none,none,"Digital economy where you can trade, entrust, invest, and borrow crypto assets all in one place",Yuesheng GE,https://www.matrixport.com/home,Matrixport,CeFi,Trading,none,none
Compound - Series A,Series A,2019-11-14T00:00:00.000Z,Polychain Capital/Paradigm/Bain Capital Ventures/Andreessen Horowitz,25000000,none,"It is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications",Robert Leshner,https://compound.finance/,Compound,DeFi,Lending/Borrowing,none,none
Argent - Series A,Series A,2020-03-09T00:00:00.000Z,Robert Leshner /Paradigm/Index Ventures/Firstminute Capital/CREANDUM,12000000,none,The most simple and secure Ethereum wallet,Sali Christeson,https://www.argent.xyz/,Argent,DeFi,Wallet,none,none
Diem - Seed,Seed,2020-03-20T00:00:00.000Z,Paradigm,none,none,To build a trusted and innovative financial network that empowers people and businesses around the world.,Zahid Rahman,https://www.diem.com/en-us/,Diem,CeFi,Payment/Mobile,none,none
Yield Protocol - Seed,Seed,2020-05-09T00:00:00.000Z,Paradigm,none,none,"Design and deploy yield farming strategies, algo trading, lending and everything in between. These aspects with ever growing arsenals of supporter protocols and pools, makes YieldProtocol the perfect solution",Allan Niemerg,https://yieldprotocol.org/,Yield Protocol,DeFi,Yield,none,none
Thesis - Unknown,Unknown,2020-04-03T00:00:00.000Z,Paradigm,7700000,none,Thesis is a cryptocurrency venture studio funding and building decentralized products and protocols that enable personal empowerment.,Matt Luongo,https://thesis.co/,Thesis,Infrastructure,Funding/Studio,none,none
AuDIGENT - Series A,Series A,2019-11-20T00:00:00.000Z,"Warner Music Group/SVK Crypto/Galaxy
  Interactive/Broadscale Group",6700000,none,"Audigent is a next-generation data management platform and the world’s first “data agency,” containing some of the most exclusive content-consuming audiences across desktop, mobile, and social platforms",Brian Brater,https://audigent.com/,AuDIGENT,Web3,Data,none,none
Mythical Games - Series A,Series A,2020-11-04T00:00:00.000Z,"SVK Crypto/Struck Capital/Javelin Venture Partners/Hashed/Galaxy
  Interactive/Avon  Ventures/Alumni Ventures Group",19000000,none,"Endorsed by many top-tier teams in the blockchain development community, our design philosophy is focused on commercial, mass market use cases supporting a diverse development group of market leaders and innovators.",John Linden/Rudy Koch,https://mythicalgames.com/,Mythical Games,Web3,Gaming/Collectibles,none,none
STOKR - Unknown,Unknown,2021-03-11T00:00:00.000Z,Utopia Genesis Foundation/G1 Ventures/Borderless Capital,4600000,none,The new peer-to-peer investment platform for firing up capital markets.,Arnab Naskar,https://stokr.io/,STOKR,Infrastructure,Mining,none,none
Hex Trust - Series A,Series A,2021-03-29T00:00:00.000Z,Radiant Tech Ventures/QBN Capital/Kenetic/Henri Arslanian/Hashkey Capital/Fenbushi Capital/Borderless Capital,6000000,none,"Through our platform, you can access liquidity providers, exchanges and lending & staking platforms, which allows our custody clients to seamlessly access third-party services while holding assets in our highly secure and regulated platform.",Alessio Quaglini,https://hextrust.com/,Hex Trust,Infrastructure,Security,none,none
BiLira - Seed,Seed,2021-03-29T00:00:00.000Z,"İstanbul Portföy Yönetimi/Future Perfect Ventures/Borderless Capital/Alameda
  Research",7500000,none,"You can transfer your purchased TRYBs to digital wallets that are only under your control, such as Ethereum-based Metamask, Argent, Dharma or Avalanche Wallet, and discover the decentralized-free finance system DeFi",Murat Fırat,https://www.bilira.co/,BiLira,CeFi,Wallet,none,none
Cudo Ventures - Series A,Series A,2021-02-01T00:00:00.000Z,DuckDAO/Borderless Capital/Aurelia Ventures,35000000,none,"The world's first global, carbon-neutral, cryptocurrency mining software",Matt Hawkins,https://www.cudoventures.com/,Cudo Ventures,Infrastructure,Mining,none,none
HKbitEX - Series A,Series A,2020-12-09T00:00:00.000Z,QBN Capital/Lingfeng Capital/Lenovo Capital/Hanwha Asset Management/Borderless Capital,10000000,none,"Leading digital asset exchange. Headquartered in Hong Kong, HKbitEX is committed to providing a compliant and regulated digital asset spot trading and over-the-counter (OTC) trading platform for global professional investors.",Han Gao,https://www.hkbitex.com.hk/,HKbitEX,CeFi,Exchange,none,none
